player,session,level,action,time,state,timestamp
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,1,91,"Boton1,Set to FALSE, Player 0","2020-11-30 17:53:44.136242"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,1,95,"Boton0,Set to TRUE, Player 0","2020-11-30 17:53:48.735807"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,1,99,"Boton0,Set to FALSE, Player 0","2020-11-30 17:53:52.253927"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,1,112,"Boton3,Set to TRUE, Player 0","2020-11-30 17:54:05.709370"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,1,119,"Boton0,Set to TRUE, Player 0","2020-11-30 17:54:13.187641"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,1,135,"Boton4,Set to TRUE, Player 0","2020-11-30 17:54:29.560678"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,1,138,"Boton5,Set to TRUE, Player 0","2020-11-30 17:54:31.685342"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,1,142,"Boton5,Set to FALSE, Player 0","2020-11-30 17:54:36.274717"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,1,143,"Boton6,Set to TRUE, Player 0","2020-11-30 17:54:37.353795"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,1,145,"Boton7,Set to TRUE, Player 0","2020-11-30 17:54:39.144443"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,3,145,"Final del nivel","2020-11-30 17:54:39.550495"
194218346,2018E23148EC65E660394DBFC95AE727,Union_Interseccion,3,145,"Puntaje Total: 9090","2020-11-30 17:55:31.725290"
194218346,2018E23148EC65E660394DBFC95AE727,Velocidad_y_fuerza,0,0,"Inicio del nivel,Player 1: Red, Player2: Blue","2020-11-30 17:55:32.026363"
194218346,2018E23148EC65E660394DBFC95AE727,Velocidad_y_fuerza,1,7,"Resorte1izq, rocaOro_Sprite, 50, Player 0","2020-11-30 17:56:47.528190"
194218346,2018E23148EC65E660394DBFC95AE727,Velocidad_y_fuerza,1,7,"Resorte1izq, rocaOro_Sprite, 50, Player 0","2020-11-30 17:56:47.528624"
195254990,6B2BF9CC4883BF9E48B41AB1DA2AA345,Densidad_de_Objetos,0,0,"Inicio del nivel,Player 1: Toston, Player2: Conco","2020-11-30 18:06:26.611151"
194218346,2018E23148EC65E660394DBFC95AE727,Velocidad_y_fuerza,1,714,"Resorte2izq, roca_Sprite, 30, Player 1","2020-11-30 18:08:59.585799"
194218346,2018E23148EC65E660394DBFC95AE727,Velocidad_y_fuerza,1,714,"Resorte2izq, roca_Sprite, 30, Player 1","2020-11-30 18:08:59.648130"
194218346,2018E23148EC65E660394DBFC95AE727,Velocidad_y_fuerza,1,741,"Resorte1izq, roca_Sprite, 30, Player 0","2020-11-30 18:09:26.026414"
194218346,2018E23148EC65E660394DBFC95AE727,Velocidad_y_fuerza,1,741,"Resorte1izq, roca_Sprite, 30, Player 1","2020-11-30 18:09:26.134472"
194218346,2018E23148EC65E660394DBFC95AE727,Velocidad_y_fuerza,1,741,"Resorte1izq, roca_Sprite, 30, Player 0","2020-11-30 18:09:26.135613"
194218346,2018E23148EC65E660394DBFC95AE727,Velocidad_y_fuerza,1,741,"Resorte1izq, roca_Sprite, 30, Player 1","2020-11-30 18:09:26.142531"
195254990,6B2BF9CC4883BF9E48B41AB1DA2AA345,Densidad_de_Objetos,1,124,"roca_Sprite, 30, Boton volOro, Player 0","2020-11-30 18:09:29.921526"
195254990,D633A91A4D97F641038591BF901096CA,Densidad_de_Objetos,0,0,"Inicio del nivel,Player 1: Toston, Player2: Conco","2020-11-30 18:13:30.597143"
195254990,D633A91A4D97F641038591BF901096CA,Densidad_de_Objetos,1,187,"rocaAcero_Sprite, 70, Boton volAcero, Player 0","2020-11-30 18:17:43.673860"
195254990,D633A91A4D97F641038591BF901096CA,Densidad_de_Objetos,1,278,"rocaOro_Sprite, 50, Boton volOro, Player 0","2020-11-30 18:19:14.827950"
195254990,D633A91A4D97F641038591BF901096CA,Densidad_de_Objetos,1,332,"roca_Sprite, 30, Boton volPiedra, Player 0","2020-11-30 18:20:08.649505"
195254990,D633A91A4D97F641038591BF901096CA,Densidad_de_Objetos,1,343,"rocaDiamante_Sprite, 100, Boton volDiamante, Player 0","2020-11-30 18:20:19.694446"
195254990,D633A91A4D97F641038591BF901096CA,Densidad_de_Objetos,3,346,"Final del nivel","2020-11-30 18:20:22.197769"
195254990,D633A91A4D97F641038591BF901096CA,Densidad_de_Objetos,3,346,"Puntaje Total: 10200","2020-11-30 18:20:54.626857"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,0,0,"Inicio del nivel,Player 1: Toston, Player2: Conco","2020-11-30 18:20:54.689690"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,1,4,"Boton0,Set to TRUE, Player 0","2020-11-30 18:21:03.426482"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,1,6,"Boton0,Set to TRUE, Player 0","2020-11-30 18:21:05.078823"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,1,6,"Boton1,Set to TRUE, Player 1","2020-11-30 18:21:05.431168"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,1,41,"Boton2,Set to TRUE, Player 0","2020-11-30 18:21:40.548817"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,1,43,"Boton2,Set to TRUE, Player 0","2020-11-30 18:21:42.165511"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,1,43,"Boton3,Set to TRUE, Player 1","2020-11-30 18:21:42.454600"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,1,49,"Boton5,Set to TRUE, Player 0","2020-11-30 18:21:48.901193"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,1,51,"Boton4,Set to TRUE, Player 0","2020-11-30 18:21:50.614463"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,1,55,"Boton6,Set to TRUE, Player 0","2020-11-30 18:21:54.431585"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,1,56,"Boton7,Set to TRUE, Player 0","2020-11-30 18:21:55.903632"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,3,56,"Final del nivel","2020-11-30 18:21:56.223319"
195254990,D633A91A4D97F641038591BF901096CA,Union_Interseccion,3,56,"Puntaje Total: 31820","2020-11-30 18:22:11.613794"
195254990,D633A91A4D97F641038591BF901096CA,Velocidad_y_fuerza,0,0,"Inicio del nivel,Player 1: Toston, Player2: Conco","2020-11-30 18:22:11.769096"
195254990,D633A91A4D97F641038591BF901096CA,Velocidad_y_fuerza,1,25,"Resorte1izq, rocaOro_Sprite, 50, Player 0","2020-11-30 18:22:54.206855"
195254990,D633A91A4D97F641038591BF901096CA,Velocidad_y_fuerza,1,25,"Resorte1izq, rocaOro_Sprite, 50, Player 0","2020-11-30 18:22:54.217514"
193167357,7D5142734E79615B44709D98F4DB2420,Densidad_de_Objetos,0,0,"Inicio del nivel,Player 1: DarkHell, Player2: Darksky","2020-11-30 22:04:07.814197"
193167357,7D5142734E79615B44709D98F4DB2420,Densidad_de_Objetos,1,216,"roca_Sprite, 30, Boton volPiedra, Player 1","2020-11-30 22:10:59.670638"
